githubId,githubUsername,commits
82,jsierles,1
137,josh,21
139,leahneukirchen,3
331,vic,3
373,alx,2
452,yrashk,3
499,judofyr,1
505,mkhl,1
548,bct,9
591,fd,12
638,pjjw,6
659,gebi,1
693,farcaller,21
713,digitalknk,1
714,lilyball,8
831,shanesveller,27
875,jiphex,1
1050,calavera,5
1181,mjm,44
1210,paulsmith,2
1222,avh4,6
1348,nwjsmith,5
1532,nkpart,1
1580,lamdor,2
1592,raja,2
1599,Mange,5
1653,shift,2
1661,coat,2
1776,bronson,1
1915,kivikakk,5
1918,danderson,16
1973,will,15
2129,badboy,2
2215,whiteley,21
2377,jdelStrother,8
2438,dhess,1
2446,mhorbul,1
2588,scvalex,30
2621,bradfitz,2
2632,tek,1
3001,jfchevrette,15
3129,elliottslaughter,8
3248,zimbatm,302
3317,Industrial,5
3416,thoughtpolice,97
3507,manveru,8
3648,joefiorini,1
3737,pjones,4
4032,krav,4
4368,griff,2
4458,ivan,62
4623,meeech,1
4710,ianmjones,40
4804,ryantm,90
4971,daniels,1
5264,thequux,5
5385,dgl,1
5526,marcusramberg,72
5548,np,4
5636,purcell,40
5656,pjstadig,4
5743,bts,2
6038,jbcrail,12
6292,shazow,3
6508,vdemeester,9
6642,luizirber,8
6961,stahnma,1
7032,anatol,1
7044,bbhoss,1
7229,djmaze,1
7335,roman,3
7346,ryane,2
7423,ryanbooker,1
7449,luxus,2
7960,jarod,1
8073,fare,27
8460,jwiegley,10
8473,fabianpage,2
8706,ereslibre,221
8961,KenMacD,12
9032,sentientmonkey,4
9209,dpc,15
9315,azuwis,176
9332,dietmarw,4
9519,rb2k,12
9746,Roger,1
9821,valodzka,1
9953,nadimkobeissi,2
10643,zx2c4,1
10693,jboyens,5
10713,rubenfonseca,1
11079,phred,1
11135,bdd,51
11265,ony,9
11512,AlekSi,1
11864,antifuchs,14
12160,kirillrdy,302
12270,groves,1
12923,astro,154
13005,evandeaubl,1
13026,titanous,5
13179,jonochang,5
13277,ches,1
13791,lukego,17
13994,tjkirch,1
14013,dsp,1
14172,timbertson,15
14412,jhh,4
14615,edrex,8
14830,Ramblurr,54
15332,dmacvicar,1
15350,walkah,6
15778,mattfawcett,1
15869,brandonweeks,18
16063,ehamberg,12
16330,bluescreen303,1
16507,afh,293
16725,nelhage,1
16779,rickynils,5
17023,breezeight,1
17118,kpy3,2
17243,algernon,2
17589,ku1ik,1
17701,IslandUsurper,1
18374,jcf,11
18501,jflanglois,2
19036,matthewbauer,39
19335,dnadlinger,1
19355,freshprince,9
19374,georgyo,11
19733,DerGuteMoritz,3
19862,orbekk,1
19911,berryp,4
19916,martinhrvn,1
20208,garbas,294
20391,nshalman,6
20434,mkaito,7
20529,pelme,3
20675,jperras,2
21412,djahandarie,1
22163,d4rk,3
22370,charles-dyfis-net,11
22371,dsully,1
22452,secobarbital,9
22780,cap,1
23406,arthurk,1
23741,cmars,4
24027,bbigras,255
24142,ben0x539,1
24193,callahad,6
24273,jakubpawlowicz,2
24584,rmgpinto,2
24669,ptman,1
24696,majewsky,4
25278,otavio,198
25514,fourplusone,2
26336,tony,1
26471,andersk,180
26752,kvz,2
26806,solson,5
27005,LoganBarnett,2
27591,nuttycom,1
27628,benmanns,3
27668,gilligan,1
27747,jyp,2
27813,Valodim,13
28259,sigmike,2
28287,emptyflask,3
